AirlineCode,AirCompany,AirAlliance,delabel
AA,American Airlines,oneworld,1
AS,Alaska Airlines,na,1
B6,JetBlue Airways,na,1
DL,Delta Airlines,skyteam,1
EV,Atlantic Southeast Airlines,na,1
F9,Frontier Airlines ,na,1
HA,Hawaiian Airlines,na,1
MQ,American Eagle Airlines,oneworld,1
NK,Spirit Air Lines,na,1
OO,SkyWest Airlines ,na,1
US,US Airways ,oneworld,1
UA,United Air Lines,staralliance,1
VX,Virgin America,na,1
WN,Southwest Airlines,na,1
